State,Year,Total population,Male,Female,Total housing units,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,One race,Two or more races,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race
Alabama,2010,4785298,2322243,2463055,2174428,308069,309658,318460,348077,339513,601653,621094,689027,313316,278457,369627,212903,75444,4720112,65186,3324276,1262980,27768,52789,606,51693
Alabama,2011,4802740,2324413,2478327,2182199,298465,302411,327106,338270,343410,609611,613286,687009,310121,299261,380257,213124,80409,4738290,64450,3318110,1281095,24408,54259,1919,58499
Alabama,2012,4822023,2336291,2485732,2189567,301808,312832,321323,331780,344634,608843,616420,670218,324646,289160,404475,215669,80215,4746176,75847,3333371,1276164,24136,58679,1358,52468
Alabama,2013,4833722,2341869,2491853,2190027,292354,302298,328072,330294,355257,612773,608333,660842,330028,291933,419711,218808,83019,4751968,81754,3330478,1284102,22459,58624,1521,54784
Alabama,2014,4849377,2347969,2501408,2208030,291160,304454,321797,329625,345575,615948,613234,651204,332246,297622,434244,228719,83549,4764413,84964,3320273,1291826,22553,58456,1446,69859
Alabama,2015,4858979,2352810,2506169,2218391,285122,318172,308481,332224,332728,624472,612193,644006,335370,304364,450119,229810,81918,4771660,87319,3329913,1303298,20503,59393,4448,54105
Alabama,2016,4863300,2356052,2507248,2230180,286643,312788,301747,335687,325722,629565,598269,645623,340893,302411,465669,231894,86389,4779442,83858,3316384,1301102,24509,65611,1503,70333
Alabama,2017,4874747,2359896,2514851,2258669,288897,299117,314609,336176,326341,628878,596006,630330,329812,321365,480913,239635,82668,4781163,93584,3312718,1307467,25181,66908,1581,67308
Alabama,2018,4887871,2369271,2518600,2274711,288589,290369,321430,332209,317810,635976,593480,626173,332700,319472,493396,251025,85242,4786860,101011,3306838,1307040,22063,65095,1797,84027
Alabama,2019,4903185,2369611,2533574,2284922,286597,294475,317645,326671,317739,637403,605739,609391,321296,331917,505557,264071,84684,4811663,91522,3326375,1319551,23265,66129,1892,74451
Alabama,2020,4893186,2365734,2527452,2270398,293932,294776,315204,321308,323960,641867,595256,625832,331903,321714,491041,247768,88625,4773864,119322,3302834,1301319,24764,67909,2042,74996
Alabama,2021,5039877,2445896,2593981,2313616,290091,298540,337730,338347,323961,633583,637640,618370,333592,342214,540223,263830,81756,4789266,250611,3281881,1305106,24830,68813,1661,106975
Alabama,2022,5074296,2461248,2613048,2339582,284064,311592,318523,340067,345126,652152,632416,617680,318087,341576,546189,281791,85033,4814962,259334,3302528,1302035,24400,78893,4977,102129
Alabama,2023,5108468,2471801,2636667,2360120,288019,305731,331262,350694,333795,644517,649252,620078,308895,344106,554008,289199,88912,4823488,284980,3303941,1298757,24491,77445,2645,116209
Alabama,2024,5157699,2498134,2659565,2367830,307252,320229,337161,352822,351734,659955,646096,677029,343246,329488,490496,254386,87804,5028037,129662,3491042,1364432,25222,67479,2199,77664
Alabama,2025,5185382,2511543,2673839,2380539,308901,321948,338970,354716,353622,663497,649564,680663,345088,331257,493128,255752,88276,5055025,130357,3509780,1371756,25357,67841,2211,78081
Alaska,2010,713985,372436,341549,307065,53582,49870,52372,51610,55974,103690,93460,112229,50489,37370,34197,15070,4072,663948,50037,481446,24711,104539,39118,7638,6496
Alaska,2011,722718,372916,349802,311182,54031,50720,52805,49546,58754,106279,93356,107984,52473,38403,37827,15742,4798,662489,60229,482698,23143,102293,37971,7785,8599
Alaska,2012,731449,381094,350355,307628,53934,52205,50912,50042,59762,109331,95782,103975,52436,40951,40354,15953,5812,673157,58292,486551,26207,102582,42790,8231,6796
Alaska,2013,735132,386404,348728,307417,54705,50862,53186,52972,60748,114008,89946,101153,52598,39370,43156,16856,5572,678226,56906,487762,25077,105310,41775,8794,9508
Alaska,2014,736732,385582,351150,308571,53408,52998,50548,51050,63579,113774,93083,96361,50972,41060,46227,17435,6237,673924,62808,483584,24790,103273,43915,8395,9967
Alaska,2015,738432,388695,349737,309453,54761,52302,48750,50377,62719,118778,91656,93326,50655,44100,48118,17303,5587,675147,63285,481314,26176,101133,47295,6762,12467
Alaska,2016,741894,390573,351321,310672,52495,53661,51068,48829,56890,121629,92373,93124,54081,41912,52097,16963,6772,677933,63961,477895,23753,108056,45580,9937,12712
Alaska,2017,739795,385776,354019,316968,52919,54491,48746,47758,54320,118149,97124,89052,49003,45192,56838,20163,6040,676405,63390,474856,22107,109948,49385,8830,11279
Alaska,2018,737438,382952,354486,318352,52173,52544,49747,48514,49107,117688,97020,89333,47300,46012,59630,21000,7370,675242,62196,474555,25197,111371,46381,7958,9780
Alaska,2019,731545,380433,351112,319867,50891,52692,49737,46531,47636,117978,93035,87687,48858,45912,61658,22265,6665,674069,57476,469771,22551,115544,43678,9923,12602
Alaska,2020,736990,384653,352337,318370,52302,52825,49395,46257,52775,118606,94294,89051,49124,44732,59344,21404,6881,668158,68832,466961,23894,107298,47289,10485,12231
Alaska,2021,732673,383121,349552,327889,46198,52071,52507,50263,45855,112341,102955,82460,42971,46642,67291,24410,6709,635040,97633,435004,22003,100397,47347,11171,19118
Alaska,2022,733583,385667,347916,329160,46497,49637,51178,44794,52259,113900,104911,81813,43503,43617,68896,26870,5708,629276,104307,437533,22202,95268,46184,14724,13365
Alaska,2023,733406,385855,347551,329681,45211,48763,51926,43880,49734,111850,110131,82182,39971,46760,66638,29123,7237,630035,103371,436860,21022,98745,43330,10646,19432
Alaska,2024,740133,386875,353258,318849,52141,52312,51409,49211,55527,115179,97276,94493,49352,43392,53467,20219,6156,670028,70105,474225,23999,105678,44827,9462,11837
Alaska,2025,742037,387870,354167,319669,52275,52447,51541,49338,55670,115475,97526,94736,49479,43503,53605,20271,6172,671752,70285,475445,24060,105950,44942,9487,11868
Arizona,2010,6413737,3190700,3223037,2846738,455776,448623,457339,460186,445055,859440,823770,843493,377151,356109,501788,280081,104926,6244180,169557,5095378,264009,285768,174039,12180,412806
Arizona,2011,6482505,3228514,3253991,2864360,447964,452876,452256,455642,462544,866715,824699,839975,387403,369278,524094,289632,109427,6288212,194293,5141027,265940,289812,177297,11941,402195
